Date,Open,High,Low,Close,Adj Close,Volume
2013-01-09,12508.09961,12528.90039,12484.79981,12522.2002,12522.2002,166356400
2013-01-10,12572,12618.40039,12523.59961,12599.7002,12599.7002,207718100
2013-01-11,12600.90039,12603.2002,12545,12602.2002,12602.2002,155720300
2013-01-14,12627.40039,12636.7002,12582.2002,12603.09961,12603.09961,216472400
2013-01-15,12569.2002,12642,12569.2002,12642,12642,186582600
2013-01-16,12602.5,12638.40039,12580.29981,12608.79981,12608.79981,143642900
2013-01-17,12614.29981,12684.09961,12608.79981,12674.7002,12674.7002,160678300
2013-01-18,12702,12751.2002,12675.59961,12725.7002,12725.7002,192755500
2013-01-21,12748.09961,12798.90039,12725.7002,12794.29981,12794.29981,971800
2013-01-22,12774.7002,12824.59961,12758.59961,12824.59961,12824.59961,178762000
2013-01-23,12779.7002,12828.90039,12779.7002,12794.09961,12794.09961,156830900
2013-01-24,12802.29981,12863.5,12794.09961,12823.59961,12823.59961,176337400
2013-01-25,12851.5,12875.40039,12808.7002,12816.59961,12816.59961,163200500
2013-01-28,12860.40039,12860.40039,12812.09961,12815.90039,12815.90039,154394900
2013-01-29,12817.40039,12849.2002,12813,12830.59961,12830.59961,170437000
2013-01-30,12846.29981,12895.29981,12773.59961,12794.40039,12794.40039,175687300
2013-01-31,12760.7002,12794.40039,12682.7002,12685.2002,12685.2002,201181900
2013-02-01,12741.2002,12783.09961,12691.90039,12768.79981,12768.79981,163622600
2013-02-04,12683.7002,12768.79981,12668.79981,12717.59961,12717.59961,122958000
2013-02-05,12740.40039,12786.79981,12717.59961,12745.7002,12745.7002,157056900
2013-02-06,12714,12783.7002,12714,12761.59961,12761.59961,164001000
2013-02-07,12762.5,12790.09961,12737.2002,12755.90039,12755.90039,183254400
2013-02-08,12773,12823.5,12756.2002,12801.2002,12801.2002,140525900
2013-02-11,12789.2002,12800.7002,12748.2002,12748.2002,12748.2002,133824700
2013-02-12,12746.59961,12815.40039,12746.59961,12789,12789,166804300
2013-02-13,12813.5,12814.5,12763.40039,12775.29981,12775.29981,176896300
2013-02-14,12769.79981,12775.09961,12699.7002,12721.79981,12721.79981,180840700
2013-02-15,12686.5,12719.2002,12667.7002,12686.59961,12686.59961,190267700
2013-02-19,12722.2002,12810.2002,12686.2002,12810.2002,12810.2002,175223900
2013-02-20,12788.40039,12809.09961,12684.59961,12714.09961,12714.09961,251708700
2013-02-21,12676.2002,12714.09961,12602.5,12640,12640,234482500
2013-02-22,12660.40039,12707.2002,12641.7002,12701.59961,12701.59961,143580100
2013-02-25,12760.90039,12832.7002,12648.90039,12650.90039,12650.90039,185360800
2013-02-26,12659.7002,12673,12605.79981,12660.40039,12660.40039,182781900
2013-02-27,12624.79981,12738,12624.79981,12732.40039,12732.40039,179288100
2013-02-28,12741,12821.79981,12726,12821.79981,12821.79981,196030400
2013-03-01,12798.7002,12819.40039,12736.09961,12773.09961,12773.09961,176707900
2013-03-04,12765.79981,12773.09961,12705,12707.40039,12707.40039,161517700
2013-03-05,12783.59961,12820.09961,12707.40039,12736,12736,172736800
2013-03-06,12793.79981,12833.5,12736.29981,12832,12832,181727500
2013-03-07,12853.5,12869.59961,12814.29981,12826.5,12826.5,178964800
2013-03-08,12833.29981,12843.7002,12795.29981,12835.59961,12835.59961,220260200
2013-03-11,12824.90039,12865.29981,12812.79981,12858.5,12858.5,136221700
